timestamp [ms],,temperature [C],pressure [Pa], altitude [m] ,pm2_5 [microg/m3],pm10_0 [microg/m3]
2521583,2521.583,24.05,81261.94,1256.1,3,3
2521614,2521.614,14.49,87119.9,1256.28,3,3
2521640,2521.64,14.49,87117.98,1256.28,3,3
2521666,2521.666,14.51,87117.93,1256.37,3,3
2521692,2521.692,14.52,87117.02,1256.21,3,3
2521718,2521.718,14.54,87118.69,1256.44,3,3
2521744,2521.744,14.55,87116.27,1256.66,3,3
2521770,2521.77,14.57,87113.97,1256.43,3,3
2521796,2521.796,14.58,87116.38,1256.48,3,3
2521822,2521.822,14.59,87115.91,1256.43,3,3
2521848,2521.848,14.6,87116.41,1256.45,3,3
2521874,2521.874,14.61,87116.16,1256.71,3,3
2521900,2521.9,14.62,87113.38,1256.58,3,3
2521926,2521.926,14.63,87114.85,1256.68,3,3
2521952,2521.952,14.64,87113.75,1256.52,3,3
2521978,2521.978,14.64,87115.48,1256.49,3,3
2522004,2522.004,14.65,87115.7,1256.72,3,3
2522030,2522.03,14.65,87113.33,1256.84,3,3
2522056,2522.056,14.66,87112,1256.65,3,3
2522082,2522.082,14.66,87114.01,1256.52,3,3
2522108,2522.108,14.66,87115.45,1256.53,3,3
2522134,2522.134,14.67,87115.34,1256.75,3,3
2522159,2522.159,14.67,87112.96,1256.74,3,3
2522185,2522.185,14.67,87113.11,1256.82,3,3
2522211,2522.211,14.67,87112.27,1256.75,3,3
2522237,2522.237,14.67,87112.96,1256.84,3,3
2522263,2522.263,14.68,87112.08,1256.61,3,3
2522289,2522.289,14.68,87114.44,1256.8,3,3
2522315,2522.315,14.68,87112.45,1256.8,3,3
2522341,2522.341,14.68,87112.45,1256.76,3,3
2522367,2522.367,14.68,87112.92,1256.78,3,3
2522393,2522.393,14.68,87112.67,1256.66,3,3
2522419,2522.419,14.69,87113.91,1256.49,3,3
2522445,2522.445,14.69,87115.73,1256.8,3,3
2522471,2522.471,14.69,87112.48,1256.57,3,3
2522497,2522.497,14.69,87114.95,1257.02,3,3
2522523,2522.523,14.69,87110.1,1256.81,3,3
2522549,2522.549,14.69,87112.36,1256.91,3,3
2522589,2522.589,14.69,87112.75,1256.77,3,3
2522615,2522.615,14.69,87110.06,1257.03,3,3
2522641,2522.641,14.69,87112.33,1256.81,3,3
2522667,2522.667,14.7,87112.71,1256.78,3,3
2522693,2522.693,14.7,87113.05,1256.74,3,3
2522719,2522.719,14.7,87114.46,1256.61,3,3
2522745,2522.745,14.7,87112.49,1256.8,3,3
2522771,2522.771,14.7,87113.97,1256.66,3,3
2522797,2522.797,14.7,87112.54,1256.79,3,3
2522823,2522.823,14.7,87109.52,1257.08,3,3
2522849,2522.849,14.7,87112.05,1256.84,3,3
2522874,2522.874,14.7,87109.86,1257.04,3,3
2522900,2522.9,14.71,87112.41,1256.8,3,3
2522926,2522.926,14.71,87108.22,1257.2,3,3
2522952,2522.952,14.71,87110.41,1256.99,3,3
2522978,2522.978,14.71,87109.18,1257.11,3,3
2523004,2523.004,14.71,87109.4,1257.09,3,3
2523030,2523.03,14.71,87112.56,1256.79,3,3
2523056,2523.056,14.71,87113.1,1256.74,3,3
2523082,2523.082,14.71,87112.55,1256.79,3,3
2523108,2523.108,14.71,87108.38,1257.18,17,21
2523134,2523.134,14.71,87109.19,1257.11,17,21
2523160,2523.16,14.71,87111.66,1256.87,17,21
2523186,2523.186,14.71,87109.69,1257.06,17,21
2523212,2523.212,14.71,87107.38,1257.28,17,21
2523238,2523.238,14.71,87109.73,1257.06,17,21
2523264,2523.264,14.71,87109.09,1257.12,17,21
2523290,2523.29,14.71,87110.72,1256.96,17,21
2523316,2523.316,14.71,87110.4,1256.99,17,21
2523342,2523.342,14.71,87109.65,1257.06,17,21
2523368,2523.368,14.71,87110.7,1256.97,17,21
2523394,2523.394,14.71,87106,1257.41,17,21
2523420,2523.42,14.71,87110.62,1256.97,17,21
2523446,2523.446,14.71,87107.79,1257.24,17,21
2523472,2523.472,14.71,87110.29,1257,17,21
2523498,2523.498,14.71,87111.55,1256.89,17,21
2523524,2523.524,14.71,87111.36,1256.9,17,21
2523550,2523.55,14.71,87110.58,1256.98,17,21
2523589,2523.589,14.71,87111.32,1256.91,17,21
2523610,2523.61,14.71,87112.12,1256.83,17,21
2523636,2523.636,14.71,87112.02,1256.84,17,21
2523662,2523.662,14.71,87115.13,1256.55,17,21
2523688,2523.688,14.71,87114.45,1256.61,17,21
2523714,2523.714,14.71,87112.62,1256.79,17,21
2523740,2523.74,14.71,87112.61,1256.79,17,21
2523766,2523.766,14.71,87115.05,1256.56,17,21
2523792,2523.792,14.71,87115.55,1256.51,17,21
2523818,2523.818,14.71,87119.42,1256.15,17,21
2523843,2523.843,14.71,87118.22,1256.26,17,21
2523869,2523.869,14.71,87118.12,1256.27,17,21
