timestamp_ms,co2_ppm,temperature_C,pressure_hPa
8070,0.00,21.00,949.90
9070,0.00,21.18,949.88
10098,0.00,21.19,949.86
11125,0.00,21.19,949.86
12151,0.00,21.19,949.86
13175,505.00,21.18,949.87
14203,505.00,21.18,949.85
15220,505.00,21.18,949.87
timestamp_ms,co2_ppm,temperature_C,pressure_hPa
8810,0.00,18.52,949.73
9810,0.00,18.70,949.73
10837,0.00,18.73,949.72
11867,0.00,18.74,949.72
12880,0.00,18.74,949.74
13908,785.00,18.76,949.73
14922,785.00,18.77,949.73
15926,785.00,18.78,949.74
16933,785.00,18.79,949.75
17944,793.00,18.79,949.72
18947,793.00,18.80,949.75
19963,793.00,18.80,949.75
20972,793.00,18.81,949.72
21977,793.00,18.82,949.73
22980,805.00,18.83,949.74
24008,805.00,18.84,949.74
25013,805.00,18.84,949.73
26031,805.00,18.84,949.72
27041,807.00,18.85,949.73
28044,807.00,18.86,949.73
29054,807.00,18.86,949.73
30068,807.00,18.87,949.73
31075,807.00,18.88,949.75
32086,804.00,18.88,949.74
33092,804.00,18.89,949.75
34108,804.00,18.85,949.74
35114,804.00,18.90,949.75
36124,804.00,18.90,949.75
37137,796.00,18.91,949.75
38141,796.00,18.91,949.73
39144,796.00,18.92,949.73
40158,796.00,18.92,949.73
41184,795.00,18.93,949.71
42196,795.00,18.94,949.71
43203,795.00,18.95,949.72
44206,795.00,18.96,949.73
45215,795.00,18.97,949.74
46227,795.00,18.98,949.73
47227,795.00,19.00,949.73
48238,795.00,19.01,949.76
49252,795.00,19.01,949.75
50255,795.00,19.02,949.74
51256,793.00,19.01,949.74
52264,793.00,19.01,949.74
53275,793.00,19.01,949.74
54286,793.00,19.02,949.73
55290,792.00,19.02,949.74
56304,792.00,19.02,949.76
57311,792.00,19.03,949.74
58324,792.00,19.02,949.76
59349,792.00,18.96,949.74
60357,788.00,18.82,949.75
61366,788.00,18.74,949.74
62377,788.00,18.72,949.72
63383,788.00,18.71,949.73
64386,783.00,18.71,949.73
65394,783.00,18.71,949.72
66396,783.00,18.71,949.73
67404,783.00,18.69,949.73
68416,783.00,18.67,949.73
69432,780.00,18.63,949.74
70436,780.00,18.59,949.75
71450,780.00,18.54,949.75
72469,780.00,18.49,949.76
73472,780.00,18.44,949.74
74490,770.00,18.38,949.75
75504,770.00,18.33,949.79
76506,770.00,18.27,949.80
77525,770.00,18.20,949.80
78552,758.00,18.15,949.76
79564,758.00,18.11,949.77
80574,758.00,18.07,949.77
81587,758.00,18.04,949.79
82587,758.00,17.99,949.79
83599,748.00,17.94,949.76
84615,748.00,17.88,949.77
85617,748.00,17.83,949.78
86633,748.00,17.77,949.78
87648,748.00,17.72,949.78
88658,730.00,17.64,949.77
89666,730.00,17.54,949.75
90686,730.00,17.46,949.77
91692,730.00,17.40,949.79
92700,708.00,17.36,949.77
93712,708.00,17.31,949.78
94716,708.00,17.28,949.78
95726,708.00,17.23,949.80
96742,708.00,17.18,949.83
97770,691.00,17.14,949.89
98779,691.00,17.11,949.91
99787,691.00,17.07,949.89
100787,691.00,17.04,949.87
101791,669.00,17.00,949.89
102801,669.00,16.97,949.89
103803,669.00,16.94,949.91
104810,669.00,16.91,949.91
105816,669.00,16.89,949.91
106845,658.00,16.84,949.90
107852,658.00,16.81,949.89
108861,658.00,16.77,949.91
109868,658.00,16.74,949.90
110871,658.00,16.72,949.90
111876,645.00,16.69,949.89
112883,645.00,16.66,949.88
113886,645.00,16.63,949.89
114898,645.00,16.60,949.88
115899,636.00,16.57,949.88
116911,636.00,16.53,949.88
117922,636.00,16.51,949.89
118928,636.00,16.48,949.87
119930,636.00,16.45,949.87
120942,628.00,16.42,949.87
121946,628.00,16.39,949.89
122956,628.00,16.35,949.88
123960,628.00,16.31,949.89
124974,628.00,16.28,949.87
125980,618.00,16.26,949.88
126997,618.00,16.24,949.86
