timestamp_ms,wind_acceleration,wind_acceleration_direction,wind_speed,x_wind_acc,y_wind_acc,x_wind_mps,y_wind_mps,tumbling
timestamp_ms,wind_acceleration,wind_acceleration_direction,wind_speed,x_wind_acc,y_wind_acc,x_wind_mps,y_wind_mps,tumbling
8816,0.000,0.00,0.000,0.000,0.000,0.000,0.000,0
9838,0.000,0.00,0.000,0.000,0.000,0.000,0.000,0
10842,0.244,137.23,0.145,0.166,-0.179,0.095,-0.110,0
11871,0.303,136.42,0.175,0.209,-0.219,0.120,-0.127,0
12885,0.328,136.55,0.191,0.226,-0.238,0.134,-0.137,0
13921,0.334,134.05,0.190,0.240,-0.233,0.139,-0.130,0
14926,0.338,134.33,0.203,0.242,-0.236,0.145,-0.143,0
15937,0.354,136.07,0.205,0.246,-0.255,0.145,-0.145,0
16944,0.354,136.18,0.210,0.245,-0.256,0.143,-0.154,0
17949,0.393,138.46,0.240,0.261,-0.294,0.154,-0.184,0
18959,0.350,135.43,0.205,0.246,-0.249,0.143,-0.146,0
19969,0.352,135.90,0.204,0.245,-0.253,0.144,-0.144,0
20978,0.351,136.30,0.201,0.243,-0.254,0.141,-0.144,0
21986,0.361,135.81,0.215,0.252,-0.259,0.148,-0.156,0
23009,0.347,134.31,0.202,0.248,-0.242,0.146,-0.140,0
24014,0.352,136.46,0.205,0.242,-0.255,0.140,-0.149,0
25025,0.361,136.25,0.208,0.249,-0.261,0.146,-0.149,0
26036,0.353,136.17,0.209,0.244,-0.254,0.144,-0.152,0
27048,0.350,135.78,0.203,0.244,-0.251,0.143,-0.145,0
28056,0.361,136.94,0.213,0.247,-0.264,0.145,-0.156,0
29064,0.354,137.13,0.208,0.241,-0.260,0.141,-0.152,0
30073,0.359,146.61,0.210,0.198,-0.300,0.113,-0.177,0
31080,0.331,133.38,0.191,0.241,-0.228,0.163,-0.101,0
32091,0.334,143.03,0.196,0.201,-0.267,0.081,-0.179,0
33099,0.336,129.45,0.197,0.259,-0.213,0.149,-0.128,0
34120,0.344,132.07,0.199,0.256,-0.231,0.149,-0.133,0
35126,0.341,134.27,0.191,0.244,-0.238,0.137,-0.133,0
36134,0.351,135.45,0.202,0.247,-0.250,0.143,-0.143,0
37144,0.346,135.47,0.202,0.243,-0.247,0.142,-0.143,0
38148,0.349,136.06,0.203,0.242,-0.251,0.141,-0.146,0
39155,2.011,108.72,1.162,1.904,-0.645,1.101,-0.371,0
40162,8.415,125.54,4.892,6.847,-4.892,3.947,-2.890,0
41195,1.371,7.19,0.684,0.172,1.360,0.078,0.679,0
42201,9.683,193.80,5.639,-2.310,-9.403,-1.456,-5.448,0
43208,8.293,221.87,4.910,-5.535,-6.176,-3.544,-3.397,0
44213,5.465,210.53,3.106,-2.776,-4.707,-1.529,-2.703,0
45227,2.500,198.92,1.513,-0.811,-2.365,-0.417,-1.455,0
46231,1.686,216.92,0.995,-1.013,-1.348,-0.641,-0.761,0
47239,1.908,182.19,1.001,-0.073,-1.907,0.023,-1.001,0
48243,1.004,181.32,0.685,-0.023,-1.003,0.233,-0.645,0
49257,2.408,3.45,1.370,0.145,2.404,0.067,1.368,0
50261,2.067,95.03,1.194,2.060,-0.181,1.188,-0.116,0
51261,0.993,143.69,0.561,0.588,-0.800,0.406,-0.387,0
52268,0.604,156.98,0.253,0.236,-0.556,0.072,-0.243,0
53279,0.488,163.95,0.217,0.135,-0.469,-0.035,-0.215,0
54290,0.825,248.98,0.524,-0.770,-0.296,-0.470,-0.231,0
55295,0.714,124.53,0.515,0.588,-0.405,0.457,-0.236,0
56309,0.376,247.76,0.311,-0.348,-0.142,-0.295,-0.097,0
57323,0.152,83.77,0.124,0.151,0.017,0.124,-0.002,0
58329,1.191,256.46,0.812,-1.158,-0.279,-0.786,-0.205,0
59356,2.308,146.36,1.276,1.279,-1.922,0.760,-1.025,0
60362,1.380,179.64,0.749,0.009,-1.380,-0.026,-0.749,0
61371,1.664,184.84,0.906,-0.140,-1.658,-0.115,-0.899,0
62389,0.980,224.77,0.482,-0.690,-0.696,-0.358,-0.323,0
63395,0.709,124.71,0.408,0.583,-0.404,0.380,-0.149,0
64398,1.417,173.63,0.737,0.157,-1.408,0.058,-0.734,0
65402,1.272,191.31,0.817,-0.249,-1.248,-0.138,-0.805,0
66408,1.775,221.11,1.005,-1.167,-1.337,-0.478,-0.884,0
67414,1.703,35.88,0.935,0.998,1.380,0.511,0.784,0
68427,0.874,67.92,0.431,0.810,0.329,0.419,0.104,0
69438,1.445,88.88,0.807,1.445,0.028,0.801,0.100,0
70441,2.067,328.51,1.211,-1.079,1.762,-0.553,1.078,0
71453,2.769,173.89,1.686,0.295,-2.754,0.216,-1.672,0
72474,3.346,133.84,2.098,2.413,-2.318,1.519,-1.447,0
73484,3.152,132.07,1.852,2.340,-2.112,1.325,-1.295,0
74494,2.419,142.30,1.387,1.479,-1.914,0.929,-1.029,0
75510,2.092,144.17,1.239,1.224,-1.696,0.748,-0.987,0
76518,1.873,153.87,1.026,0.825,-1.682,0.424,-0.935,0
77530,1.956,153.00,1.137,0.888,-1.743,0.418,-1.058,0
78564,0.632,87.54,0.551,0.631,0.027,0.536,-0.125,0
79569,5.383,110.06,3.049,5.057,-1.846,2.866,-1.039,0
80579,5.777,200.81,3.459,-2.053,-5.400,-1.106,-3.277,0
81593,3.700,232.93,2.152,-2.952,-2.230,-1.614,-1.424,0
82598,1.986,209.76,1.329,-0.986,-1.724,-0.602,-1.185,0
83605,0.954,290.00,0.534,-0.896,0.326,-0.506,0.170,0
84619,0.503,276.49,0.303,-0.500,0.057,-0.297,0.059,0
85629,0.842,216.05,0.524,-0.496,-0.681,-0.340,-0.399,0
86638,1.784,189.21,1.111,-0.286,-1.761,-0.222,-1.089,0
87654,0.828,199.94,0.420,-0.282,-0.778,-0.182,-0.378,0
88663,0.688,100.38,0.424,0.676,-0.124,0.424,-0.020,0
89678,0.305,266.42,0.131,-0.304,-0.019,-0.098,-0.086,0
90690,0.726,48.58,0.511,0.545,0.481,0.436,0.266,0
91696,0.821,177.00,0.471,0.043,-0.820,-0.011,-0.471,0
92705,0.578,26.16,0.315,0.255,0.519,0.098,0.300,0
93716,0.431,12.49,0.337,0.093,0.421,0.086,0.326,0
94729,0.813,354.36,0.611,-0.080,0.809,-0.017,0.611,0
95738,0.481,99.49,0.246,0.474,-0.079,0.245,-0.027,0
96748,0.057,104.03,0.128,0.055,-0.014,0.039,-0.122,0
97781,1.886,74.84,1.123,1.821,0.493,1.119,0.092,0
98783,3.152,336.83,1.853,-1.240,2.898,-0.692,1.719,0
99791,3.727,123.60,1.929,3.104,-2.063,1.459,-1.261,0
100799,9.604,236.38,5.605,-7.997,-5.318,-4.667,-3.103,0
101804,7.585,172.96,4.438,0.930,-7.528,0.546,-4.404,0
102807,4.196,164.02,2.444,1.155,-4.034,0.673,-2.349,0
103815,2.211,163.73,1.283,0.619,-2.122,0.359,-1.231,0
104822,1.350,167.14,0.788,0.301,-1.316,0.175,-0.769,0
105823,0.797,174.80,0.462,0.072,-0.793,0.044,-0.460,0
106856,0.550,186.14,0.318,-0.059,-0.547,-0.036,-0.316,0
107864,0.436,195.04,0.255,-0.113,-0.421,-0.066,-0.246,0
108870,0.413,204.96,0.241,-0.174,-0.375,-0.102,-0.219,0
109876,0.382,209.65,0.222,-0.189,-0.332,-0.112,-0.192,0
110882,0.380,211.02,0.220,-0.196,-0.325,-0.113,-0.189,0
111887,0.365,211.38,0.213,-0.190,-0.312,-0.111,-0.182,0
112892,0.359,211.09,0.208,-0.185,-0.307,-0.108,-0.178,0
113897,0.358,212.53,0.206,-0.192,-0.301,-0.111,-0.174,0
114903,0.362,211.54,0.211,-0.189,-0.309,-0.111,-0.179,0
115911,0.359,211.03,0.211,-0.185,-0.308,-0.109,-0.180,0
116922,0.359,211.01,0.211,-0.185,-0.308,-0.108,-0.182,0
117928,0.358,212.83,0.208,-0.194,-0.301,-0.115,-0.174,0
118932,0.351,210.63,0.207,-0.179,-0.302,-0.107,-0.178,0
119941,0.345,211.19,0.200,-0.179,-0.295,-0.102,-0.172,0
120947,0.357,211.01,0.208,-0.184,-0.306,-0.108,-0.178,0
121952,0.356,212.62,0.208,-0.192,-0.300,-0.112,-0.175,0
122962,0.356,212.78,0.208,-0.193,-0.299,-0.114,-0.174,0
123973,0.354,212.69,0.205,-0.191,-0.298,-0.111,-0.173,0
124980,0.362,211.68,0.214,-0.190,-0.308,-0.113,-0.182,0
126029,0.365,211.83,0.213,-0.193,-0.310,-0.111,-0.182,0
127056,0.364,211.75,0.220,-0.192,-0.310,-0.119,-0.185,0
128057,0.370,212.04,0.213,-0.196,-0.314,-0.114,-0.180,0
129067,0.366,211.73,0.215,-0.193,-0.311,-0.111,-0.185,0
130067,0.358,211.63,0.209,-0.188,-0.305,-0.110,-0.178,0
131095,0.364,211.99,0.210,-0.193,-0.308,-0.113,-0.178,0
132099,0.372,211.60,0.213,-0.195,-0.316,-0.111,-0.181,0
133100,0.371,211.79,0.217,-0.195,-0.315,-0.114,-0.185,0
134114,0.368,211.32,0.215,-0.191,-0.314,-0.112,-0.183,0
135114,0.368,210.66,0.213,-0.188,-0.317,-0.107,-0.184,0
136116,0.364,211.91,0.212,-0.193,-0.309,-0.112,-0.181,0
137120,0.368,211.20,0.213,-0.191,-0.315,-0.110,-0.182,0
138123,0.379,211.50,0.222,-0.198,-0.323,-0.116,-0.189,0
139130,0.373,211.15,0.217,-0.193,-0.319,-0.111,-0.186,0
140145,0.371,212.30,0.217,-0.198,-0.314,-0.116,-0.183,0
141162,0.376,212.10,0.222,-0.200,-0.319,-0.115,-0.190,0
142173,0.369,211.05,0.216,-0.190,-0.316,-0.111,-0.186,0
143187,0.372,210.76,0.217,-0.190,-0.320,-0.110,-0.187,0
144193,0.379,211.14,0.221,-0.196,-0.324,-0.114,-0.190,0
145212,0.379,212.30,0.225,-0.203,-0.321,-0.120,-0.190,0
146222,0.372,211.63,0.218,-0.195,-0.316,-0.114,-0.185,0
147227,0.380,210.56,0.222,-0.193,-0.327,-0.113,-0.190,0
148244,0.372,211.08,0.220,-0.192,-0.319,-0.115,-0.187,0
149256,2.934,159.46,1.728,1.030,-2.748,0.626,-1.610,0
150268,3.103,166.09,1.855,0.746,-3.012,0.521,-1.780,0
151280,8.917,159.08,5.255,3.183,-8.330,1.816,-4.931,0
152290,7.901,154.05,4.432,3.457,-7.105,2.084,-3.912,0
153295,9.880,155.72,5.743,4.062,-9.006,2.128,-5.334,0
154314,1.663,113.47,1.171,1.526,-0.662,0.981,-0.640,0
155331,7.360,161.40,4.256,2.347,-6.975,1.263,-4.064,0
156343,9.840,215.42,5.928,-5.703,-8.018,-3.468,-4.808,0
157354,9.457,213.09,5.747,-5.163,-7.923,-3.185,-4.783,0
158368,8.303,213.21,4.697,-4.548,-6.947,-2.558,-3.940,0
159369,5.950,221.53,3.342,-3.945,-4.454,-2.326,-2.401,0
160389,4.867,220.00,2.900,-3.129,-3.728,-1.896,-2.194,0
161392,3.502,206.34,2.006,-1.553,-3.138,-0.935,-1.775,0
162396,3.401,210.62,2.117,-1.732,-2.927,-1.105,-1.806,0
163412,2.069,203.97,1.244,-0.841,-1.891,-0.463,-1.155,0
164422,1.235,240.78,0.675,-1.078,-0.603,-0.547,-0.396,0
165436,0.422,187.16,0.271,-0.053,-0.418,-0.002,-0.271,0
166445,0.428,192.13,0.302,-0.090,-0.418,-0.158,-0.257,0
