station_abbr;reference_timestamp;ta1towh0;ta1towhn;ta1towhx;uretowh0;tdetowh0;fk1towh0;dk1towh0;fk1towh1;fu3towh0;fu3towh1;gre000h0;sre000h0
UEB;01.01.2026 00:00;-3.4;-4;-2.9;35.6;-16.8;3;102;4.1;10.8;14.8;5;0
UEB;01.01.2026 01:00;-3.4;-3.8;-3;32.7;-17.8;3.3;94;5.2;11.9;18.7;5;0
UEB;01.01.2026 02:00;-2.9;-3.4;-2.4;25;-20.6;3.5;105;4.4;12.6;15.8;5;0
UEB;01.01.2026 03:00;-1.5;-1.7;-1.2;26.1;-18.5;1.4;149;3.8;5;13.7;4;0
UEB;01.01.2026 04:00;-1.9;-3;-1.3;28.7;-17.8;5.2;216;8.5;18.7;30.6;5;0
UEB;01.01.2026 05:00;-3.5;-4.8;-2.2;38.7;-16.2;6.9;225;8.1;24.8;29.2;5;0
UEB;01.01.2026 06:00;-3.3;-3.8;-1.9;40.9;-15.1;7.4;240;10;26.6;36;6;0
UEB;01.01.2026 07:00;-3.2;-3.7;-2.7;53;-12.1;11.8;250;13.4;42.5;48.2;6;0
UEB;01.01.2026 08:00;-4.9;-5.9;-3;49.8;-14.3;12.3;244;13.9;44.3;50;35;35
UEB;01.01.2026 09:00;-5.9;-6.4;-5.3;70;-10.6;12.2;247;13.3;43.9;47.9;147;60
UEB;01.01.2026 10:00;-3.8;-4.9;-3.3;52.8;-13.4;12.5;246;13.8;45;49.7;279;60
UEB;01.01.2026 11:00;-3.9;-4.5;-3.4;68.4;-8.8;13.5;237;15.9;48.6;57.2;360;60
UEB;01.01.2026 12:00;-3.9;-4.3;-3.6;75.9;-7.6;12.6;241;16.7;45.4;60.1;384;60
UEB;01.01.2026 13:00;-3.7;-3.9;-3.4;74.6;-7.6;10.7;241;13.9;38.5;50;330;60
UEB;01.01.2026 14:00;-3.1;-3.3;-2.8;75.3;-6.8;10.4;238;13.8;37.4;49.7;251;58
UEB;01.01.2026 15:00;-2.8;-2.9;-2.6;76.6;-6.3;8.9;240;13.8;32;49.7;136;11
UEB;01.01.2026 16:00;-2.8;-3.2;-2.5;77.5;-6.2;9.9;242;13.3;35.6;47.9;33;1
UEB;01.01.2026 17:00;-2.2;-2.3;-2.1;76.2;-5.8;12.1;241;14.7;43.6;52.9;5;0
UEB;01.01.2026 18:00;-2.4;-2.6;-2.1;80.3;-5.3;12.2;246;15.4;43.9;55.4;5;0
UEB;01.01.2026 19:00;-2.2;-2.3;-2.1;84.1;-4.5;14.1;245;16.1;50.8;58;5;0
UEB;01.01.2026 20:00;-2.3;-2.6;-2;83.4;-4.7;13.2;248;15.3;47.5;55.1;5;0
UEB;01.01.2026 21:00;-3;-3.5;-2.5;77.4;-6.5;11.2;258;13.6;40.3;49;5;0
UEB;01.01.2026 22:00;-4.2;-4.8;-3.7;71.1;-8.7;10.1;263;12.4;36.4;44.6;5;0
UEB;01.01.2026 23:00;-3.6;-4.4;-3;68.4;-8.6;9.5;262;13;34.2;46.8;5;0
UEB;02.01.2026 00:00;-3.3;-3.4;-3.1;80.4;-6.2;9.7;243;11.3;34.9;40.7;5;0
UEB;02.01.2026 01:00;-2.9;-3.2;-2.6;84.1;-5.2;10.2;246;11.9;36.7;42.8;5;0
UEB;02.01.2026 02:00;-2.7;-2.9;-2.5;79.1;-5.8;11.2;247;12.4;40.3;44.6;5;0
UEB;02.01.2026 03:00;-3;-3.3;-2.7;72.5;-7.3;11.3;245;16.2;40.7;58.3;5;0
UEB;02.01.2026 04:00;-3.3;-3.4;-3.1;68.5;-8.3;11.7;247;13.9;42.1;50;5;0
UEB;02.01.2026 05:00;-3.4;-3.5;-3.2;70.1;-8.1;12.5;245;15.8;45;56.9;5;0
UEB;02.01.2026 06:00;-3.4;-3.5;-3.3;74;-7.4;13.8;236;17.8;49.7;64.1;5;0
UEB;02.01.2026 07:00;-3.1;-3.2;-3;70.6;-7.7;14;233;18.3;50.4;65.9;5;0
UEB;02.01.2026 08:00;-3.2;-3.2;-3.1;70.3;-7.8;11.2;238;16.2;40.3;58.3;11;0
UEB;02.01.2026 09:00;-2.9;-3.2;-2.7;70.1;-7.6;10;240;14;36;50.4;33;2
UEB;02.01.2026 10:00;-2.7;-2.8;-2.6;68.7;-7.6;9.5;244;12.3;34.2;44.3;50;0
UEB;02.01.2026 11:00;-2.6;-2.7;-2.5;67.7;-7.8;10.8;243;14.6;38.9;52.6;44;0
UEB;02.01.2026 12:00;-2.5;-2.6;-2.4;70.9;-7.1;12.9;248;16.1;46.4;58;58;1
UEB;02.01.2026 13:00;-2.2;-2.4;-2;72.9;-6.4;11.1;244;15.2;40;54.7;91;0
UEB;02.01.2026 14:00;-1.9;-2;-1.8;71.5;-6.3;11.8;245;16.4;42.5;59;68;0
UEB;02.01.2026 15:00;-1.8;-1.8;-1.7;73.8;-5.8;11.3;243;15.6;40.7;56.2;38;0
UEB;02.01.2026 16:00;-1.7;-1.8;-1.7;75;-5.6;11.3;243;14.8;40.7;53.3;8;0
UEB;02.01.2026 17:00;-1.6;-1.7;-1.6;73.9;-5.7;12.3;240;16.6;44.3;59.8;5;0
UEB;02.01.2026 18:00;-1.7;-1.8;-1.6;71.8;-6.1;12.5;243;17.3;45;62.3;5;0
UEB;02.01.2026 19:00;-1.8;-1.8;-1.7;75.2;-5.6;13.5;242;18;48.6;64.8;5;0
UEB;02.01.2026 20:00;-1.9;-1.9;-1.8;79.7;-4.9;14.2;244;20.3;51.1;73.1;5;0
UEB;02.01.2026 21:00;-2.4;-2.8;-1.9;89.8;-3.9;13.1;250;18.9;47.2;68;5;0
UEB;02.01.2026 22:00;-2.9;-3.1;-2.6;99.4;-3;12;266;16.9;43.2;60.8;4;0
