year,month,day,hour,minute,second,millisecond,detector_mask
year,month,day,hour,minute,second,millisecond,detector_mask
0,0,0,0,0,12,543,0
0,0,0,0,0,13,230,0
0,0,0,0,0,14,211,0
0,0,0,0,0,15,304,0
0,0,0,0,0,17,765,0
0,0,0,0,0,19,719,0
0,0,0,0,0,20,764,0
0,0,0,0,0,21,298,0
0,0,0,0,0,21,986,0
0,0,0,0,0,22,567,0
0,0,0,0,0,23,242,0
0,0,0,0,0,24,40,0
0,0,0,0,0,25,284,0
0,0,0,0,0,25,903,0
0,0,0,0,0,26,831,0
0,0,0,0,0,28,113,0
0,0,0,0,0,28,113,0
0,0,0,0,0,28,113,0
0,0,0,0,0,28,113,0
0,0,0,0,0,28,113,0
0,0,0,0,0,28,113,0
0,0,0,0,0,35,446,0
0,0,0,0,0,36,627,0
0,0,0,0,0,37,638,0
0,0,0,0,0,40,92,0
0,0,0,0,0,41,339,0
0,0,0,0,0,41,898,0
0,0,0,0,0,42,639,0
0,0,0,0,0,43,498,0
0,0,0,0,0,44,533,0
0,0,0,0,0,45,227,0
0,0,0,0,0,47,323,0
0,0,0,0,0,47,853,0
0,0,0,0,0,48,417,0
0,0,0,0,0,49,132,0
0,0,0,0,0,49,753,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,50,287,0
0,0,0,0,0,59,591,0
0,0,0,0,1,0,203,0
0,0,0,0,1,1,157,0
0,0,0,0,1,1,838,0
0,0,0,0,1,7,851,0
0,0,0,0,1,8,430,0
0,0,0,0,1,9,157,0
0,0,0,0,1,10,198,0
0,0,0,0,1,10,937,0
0,0,0,0,1,11,714,0
0,0,0,0,1,12,312,0
0,0,0,0,1,12,911,0
0,0,0,0,1,13,443,0
0,0,0,0,1,14,73,0
0,0,0,0,1,14,696,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
0,0,0,0,1,15,406,0
