timestamp_ms,mic_amp,energy_derivative,energy,detector_mask
timestamp_ms,mic_amp,energy_derivative,energy,detector_mask
11836,1667.64,1.00e+00,0.003084,0
11871,1630.00,1.94e+00,0.004299,0
11897,1653.27,1.51e+00,0.003829,0
11926,1657.91,1.42e+00,0.003726,0
11956,1669.61,5.63e+00,0.007454,0
11985,1658.16,2.58e+00,0.005279,0
12014,1651.90,4.49e-01,0.002234,0
12044,1650.74,4.33e-01,0.002182,0
12073,1666.15,9.44e-01,0.003204,0
12102,1639.23,1.47e+00,0.003991,0
12132,1678.96,1.04e+00,0.003382,0
12161,1673.11,2.17e+00,0.004882,0
12191,1659.08,2.86e-01,0.001791,0
12220,1629.72,3.40e-01,0.001939,0
12249,1661.86,5.22e-01,0.002389,0
12279,1649.66,8.98e-01,0.003117,0
12308,1655.46,4.22e-01,0.002135,0
12338,1652.65,1.07e+00,0.003384,0
12367,1664.42,1.49e-01,0.001260,0
12396,1660.26,1.55e-01,0.001276,0
12426,1664.12,1.95e-01,0.001420,0
12455,1648.72,2.35e-01,0.001546,0
12485,1656.47,2.76e-01,0.001663,0
12514,1674.96,6.68e-02,0.000812,0
12543,1650.81,8.97e+00,0.009320,0
12573,1662.93,1.93e+00,0.004322,0
12615,1665.08,1.12e+01,0.010498,0
12645,1656.97,9.72e-01,0.003097,0
12674,1659.84,7.53e-01,0.002725,0
12704,1646.12,2.33e-01,0.001515,0
12733,1647.59,1.60e-01,0.001258,0
12763,1653.91,1.90e-01,0.001370,0
12792,1645.96,8.90e-02,0.000937,0
12821,1656.68,5.85e-02,0.000759,0
12851,1654.05,8.03e-02,0.000890,0
12885,1652.03,2.71e-02,0.000517,0
12911,1655.02,6.59e-02,0.000806,0
12940,1655.46,1.38e-01,0.001167,0
12969,1663.04,1.18e-01,0.001078,0
12999,1656.75,7.53e-02,0.000861,0
13030,1640.41,8.39e-02,0.000909,0
13054,1663.26,9.67e-02,0.000977,0
13084,1670.71,6.65e-02,0.000810,0
13113,1652.04,4.73e+00,0.006764,0
13142,1646.68,9.43e-01,0.003132,0
13172,1666.73,1.73e-01,0.001339,0
13201,1641.61,4.29e-01,0.002093,0
13230,1672.48,1.01e+01,0.010085,0
13260,1633.14,4.55e+00,0.006778,0
13293,1649.72,1.28e+00,0.003715,0
13326,1669.98,4.34e+00,0.006852,0
13350,1630.53,1.21e+00,0.003624,0
13379,1648.41,8.93e+00,0.009825,0
13409,1660.56,1.52e+00,0.004061,0
13438,1646.61,3.72e-01,0.002005,0
13468,1656.69,5.34e-01,0.002403,0
13497,1648.45,1.81e+00,0.004426,0
13526,1648.76,2.36e-01,0.001597,0
13556,1649.90,8.18e-01,0.002974,0
13585,1654.18,6.27e-01,0.002605,0
13615,1666.20,1.40e+00,0.003887,0
13644,1661.71,1.94e-01,0.001447,0
13673,1659.83,1.72e-01,0.001362,0
13703,1650.98,2.30e-01,0.001577,0
13732,1665.24,5.71e+00,0.007860,0
13761,1640.27,4.85e+00,0.007239,0
13791,1650.33,6.40e-01,0.002731,0
13820,1671.12,6.87e-01,0.002819,0
13850,1631.23,3.07e+00,0.005939,0
13879,1668.65,9.35e-01,0.003345,0
13921,1654.13,1.10e-01,0.001144,0
13946,1625.23,1.63e+00,0.004369,0
13976,1660.04,2.71e+00,0.005676,0
14005,1647.37,3.01e+00,0.006085,0
14035,1657.96,3.23e+00,0.006424,0
14064,1663.31,2.83e-01,0.001945,0
14093,1646.34,2.91e-01,0.001957,0
14123,1665.96,1.12e+00,0.003807,0
14152,1674.50,1.08e+00,0.003753,0
14181,1654.45,1.11e+00,0.003802,0
14211,1658.33,7.59e+00,0.009958,0
14240,1619.99,3.34e+00,0.006603,0
14272,1644.86,1.52e+00,0.004565,0
14302,1663.94,1.72e+00,0.004846,0
14331,1657.69,2.60e+00,0.005961,0
14361,1652.84,3.14e-01,0.002072,0
14390,1657.08,1.97e+00,0.005189,0
14419,1649.76,5.17e-01,0.002658,0
14449,1647.39,7.46e-01,0.003193,0
14478,1667.45,5.17e-01,0.002658,0
14508,1653.32,3.58e+00,0.006998,0
14537,1665.34,1.87e+00,0.005052,0
14566,1643.15,8.66e-01,0.003440,0
14596,1650.64,2.76e-01,0.001943,0
14625,1647.50,4.47e-01,0.002471,0
14655,1664.60,4.83e-01,0.002568,0
14684,1638.94,1.95e-01,0.001634,0
