# Processed Acoustic Event Data, only loud events that exceed 70dBSPL
# Original format: eventMillis, peak_stored, rms_stored, zeroCrossings
# eventTime_s = eventMillis / 1000.0 (time of event since device boot, wraps at 255ms due to uint8 bug)
# peak_dBSPL = 20*log10(peak_stored * 128) + 29.69  [calibrated: raw=368, raw stored=2.875 -> 81dB SPL]
# rms_dBSPL  = 20*log10(rms_stored  * 128) + 29.69
#
Line    EventMillis  EventTime_s  Peak_stored   Peak_dBSPL  RMS_stored   RMS_dBSPL  Duration_ms  ZeroCross
------------------------------------------------------------------------------------------------------------
1                52        0.052            2         77.8           1        71.8            0          0
2                56        0.056            2         77.8           1        71.8         4048          0
3                58        0.058          208        118.2          24        99.4         2023          0
4                31        0.031            1         71.8           1        71.8          155          0
5                32        0.032            1         71.8           1        71.8           15          0
6                35        0.035            2         77.8           1        71.8            1          0
7                36        0.036            1         71.8           1        71.8           53          0
8                36        0.036            1         71.8           1        71.8            0          0
9                36        0.036            1         71.8           1        71.8           27          0
10               36        0.036            1         71.8           1        71.8           66          0
11               42        0.042            1         71.8           1        71.8           16          0
12               43        0.043            1         71.8           1        71.8           33          0
13               44        0.044            1         71.8           1        71.8          141          0
14               44        0.044            1         71.8           1        71.8           72          0
15               45        0.045            1         71.8           1        71.8            0          0
16               46        0.046            1         71.8           1        71.8           34          0
17               46        0.046            1         71.8           1        71.8           52          0
18               47        0.047            1         71.8           1        71.8           48          0
19               47        0.047            2         77.8           1        71.8           30          0
20               47        0.047            2         77.8           1        71.8           33          0
21               48        0.048            1         71.8           1        71.8           60          0
22               48        0.048            1         71.8           1        71.8            0          0
23               49        0.049            1         71.8           1        71.8          120          0
24               52        0.052            1         71.8           1        71.8            0          0
25               55        0.055            2         77.8           1        71.8          132          0
26               61        0.061            1         71.8           1        71.8           52          0
27               65        0.065            1         71.8           1        71.8           68          0
28               76        0.076            1         71.8           1        71.8            0          0
29               76        0.076            2         77.8           1        71.8            0          0
30               79        0.079            1         71.8           1        71.8           49          0
31               81        0.081            1         71.8           1        71.8            0          0
32               82        0.082            1         71.8           1        71.8           25          0
33               86        0.086            3         81.4           1        71.8           48          0
34               89        0.089            2         77.8           1        71.8            1          0
35               90        0.090            2         77.8           1        71.8           17          0
36               91        0.091            1         71.8           1        71.8            0          0
37               95        0.095            1         71.8           1        71.8            0          0
38               96        0.096            1         71.8           1        71.8           65          0
39               97        0.097            2         77.8           1        71.8          170          0
40               98        0.098            1         71.8           1        71.8           25          0
41              103        0.103            1         71.8           1        71.8            0          0
42              104        0.104            1         71.8           1        71.8            0          0
43              105        0.105            4         83.9           1        71.8           20          0
44              108        0.108            1         71.8           1        71.8           33          0
45              108        0.108            1         71.8           1        71.8            7          0
46              108        0.108            1         71.8           1        71.8            7          0
47              111        0.111            1         71.8           1        71.8           35          0
48              113        0.113            1         71.8           1        71.8           56          0
49              115        0.115            1         71.8           1        71.8            0          0
50              116        0.116            1         71.8           1        71.8           24          0
51              118        0.118            1         71.8           1        71.8           28          0
52              125        0.125            1         71.8           1        71.8            0          0
53              126        0.126            1         71.8           1        71.8            0          0
54              126        0.126            1         71.8           1        71.8           21          0
55              130        0.130            1         71.8           1        71.8            0          0
56              132        0.132            1         71.8           1        71.8            0          0
57              132        0.132            1         71.8           1        71.8            0          0
58              133        0.133            1         71.8           1        71.8           15          0
59              136        0.136            2         77.8           2        77.8            7          0
60              139        0.139            1         71.8           1        71.8            7          0
61              140        0.140            2         77.8           1        71.8            0          0
62              141        0.141           83        110.2          20        97.8            7          0
63              145        0.145            4         83.9           2        77.8           29          0
64              145        0.145            1         71.8           1        71.8            0          0
65               61        0.061            1         71.8           1        71.8            0          0
66              115        0.115            1         71.8           1        71.8           58          0
67              114        0.114            1         71.8           1        71.8           20          0
68              114        0.114            1         71.8           1        71.8            0          0
69              130        0.130            1         71.8           1        71.8            0          0
70               61        0.061            2         77.8           1        71.8          317          0
71              132        0.132            1         71.8           1        71.8            0          0
72              234        0.234            1         71.8           1        71.8            0          0
73              235        0.235            1         71.8           1        71.8            0          0
74              236        0.236            1         71.8           1        71.8            0          0
75              237        0.237            1         71.8           1        71.8            0          0
76              238        0.238            1         71.8           1        71.8            0          0
77              240        0.240            1         71.8           1        71.8            0          0
78              240        0.240            1         71.8           1        71.8            0          0
79              244        0.244            2         77.8           1        71.8            0          0
80              244        0.244            2         77.8           1        71.8           45          0
81              244        0.244            2         77.8           1        71.8           90          0
82              248        0.248            1         71.8           1        71.8            0          0
83              252        0.252            1         71.8           1        71.8           88          0
84              254        0.254            1         71.8           1        71.8            0          0
85                0        0.000            2         77.8           1        71.8            0          0
86                8        0.008            1         71.8           1        71.8            0          0
87                9        0.009            1         71.8           1        71.8            0          0
88               10        0.010            1         71.8           1        71.8            0          0
89               10        0.010            1         71.8           1        71.8           90          0
90               11        0.011            1         71.8           1        71.8           45          0
91               12        0.012            1         71.8           1        71.8            0          0
92               13        0.013            1         71.8           1        71.8            0          0
93               14        0.014            2         77.8           1        71.8            0          0
94               15        0.015            1         71.8           1        71.8            0          0
95               17        0.017           14         94.7           3        81.4          568          0
96               22        0.022            1         71.8           1        71.8            0          0
97               24        0.024           22         98.7           4        83.9         1430          0
98               28        0.028            1         71.8           1        71.8            0          0
99               28        0.028            6         87.4           2        77.8           45          0
100              35        0.035            1         71.8           1        71.8           45          0
101              44        0.044            3         81.4           1        71.8          134          0
102              70        0.070            2         77.8           1        71.8            0          0
103              95        0.095            2         77.8           1        71.8            0          0
104              97        0.097            2         77.8           1        71.8            0          0
105              97        0.097            1         71.8           1        71.8            0          0
106             124        0.124            1         71.8           1        71.8            0          0
107             126        0.126            2         77.8           1        71.8            0          0
108             126        0.126            1         71.8           1        71.8            0          0
109             127        0.127            1         71.8           1        71.8            0          0
110             132        0.132            2         77.8           1        71.8          136          0
111             134        0.134            1         71.8           1        71.8           45          0
112             136        0.136            7         88.7           2        77.8            0          0
113             141        0.141            2         77.8           1        71.8          587          0
114             142        0.142            4         83.9           1        71.8          650          0
115             145        0.145            1         71.8           1        71.8          182          0
116             164        0.164            1         71.8           1        71.8            0          0
117             184        0.184            2         77.8           1        71.8          230          0
118             187        0.187            1         71.8           1        71.8            0          0
119             211        0.211            1         71.8           1        71.8           46          0
120             222        0.222            1         71.8           1        71.8            0          0
