station_abbr;reference_timestamp;tre200h0;tre200hn;tre200hx;tre005h0;tre005hn;ure200h0;pva200h0;tde200h0;prestah0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;fkl010h1;dkl010h0;fkl010h0;fu3010h0;fu3010h1;fkl010h3;fu3010h3;wcc006h0;fve010h0;rre150h0;htoauths;gre000h0;oli000h0;olo000h0;osr000h0;ods000h0;sre000h0;erefaoh0;tso005hs;tso010hs;tso020hs
SMA;01.01.2026 00:00;-4.9;-5.1;-4.7;-7.3;-7.5;80.6;3.4;-7.8;954.8;1024.4;1020.4;;;1.2;117;0.6;2.2;4.3;1.1;4;0;;0;0;0;211;;;;0;-0.002;;;
SMA;01.01.2026 01:00;-4.9;-5.4;-4.2;-7.5;-7.8;84;3.6;-7.2;954;1023.5;1019.5;;;1.1;360;0.4;1.4;4;1;3.6;0;;0;0;0;211;;;;0;-0.003;;;
SMA;01.01.2026 02:00;-5.5;-5.7;-5.3;-7.5;-7.8;87.3;3.5;-7.3;953.4;1023;1018.9;;;1.4;34;0.3;1.1;5;1.3;4.7;0;;0;0;0;210;;;;0;-0.004;;;
SMA;01.01.2026 03:00;-5.8;-6;-5.5;-8.1;-8.4;89.4;3.6;-7.2;952.4;1022.1;1017.8;;;0.9;90;0.2;0.7;3.2;0.8;2.9;0;;0;0;0;209;;;;0;-0.005;;;
SMA;01.01.2026 04:00;-5.8;-6.2;-5.5;-8.1;-8.4;89.2;3.5;-7.3;951.7;1021.4;1017.1;;;1.5;153;0.4;1.4;5.4;1.4;5;0;;0;0;0;208;;;;0;-0.004;;;
SMA;01.01.2026 05:00;-6.4;-6.6;-6.3;-8.2;-8.4;90.4;3.4;-7.7;951.6;1021.4;1017;;;1.3;45;0.4;1.4;4.7;1.2;4.3;0;;0;0;0;209;;;;0;-0.004;;;
SMA;01.01.2026 06:00;-6.3;-6.5;-6.1;-8.4;-8.7;90.8;3.5;-7.6;951;1020.7;1016.3;;;2.2;198;0.5;1.8;7.9;2.2;7.9;0;;0;0;0;209;;;;0;-0.003;;;
SMA;01.01.2026 07:00;-6.1;-6.6;-5.7;-8.4;-8.8;92.1;3.6;-7.2;950.6;1020.2;1015.9;;;2.8;207;1.1;4;10.1;2.7;9.7;0;;0;0;0;209;;;;0;-0.002;;;
SMA;01.01.2026 08:00;-5.4;-5.8;-5.1;-7.6;-8.1;91.2;3.7;-6.7;950.3;1019.7;1015.6;;;3.6;188;1.6;5.8;13;3.5;12.6;0;;0;0;17;209;;;;11;0.002;;;
SMA;01.01.2026 09:00;-4.3;-4.8;-3.8;-5.7;-6.9;84.6;3.8;-6.5;950;1019.1;1015.3;;;3.4;205;1.5;5.4;12.2;3.3;11.9;0;;0;0;117;211;;;;60;0.025;;;
SMA;01.01.2026 10:00;-2.5;-3.1;-1.9;-3.2;-3.9;69.2;3.5;-7.4;949.5;1018;1014.7;;;5.4;211;2.5;9;19.4;5.2;18.7;0;;0;0;242;213;;;;60;0.067;;;
SMA;01.01.2026 11:00;-1.2;-1.6;-0.6;-1.4;-2.5;63.7;3.6;-7.2;948.4;1016.5;1013.6;;;5.9;218;3.3;11.9;21.2;5.7;20.5;0;;0;0;313;217;;;;60;0.096;;;
SMA;01.01.2026 12:00;-0.2;-0.7;0.5;0.2;-0.9;61.3;3.7;-6.7;947.1;1014.8;1012.2;;;5.7;210;2.7;9.7;20.5;5.6;20.2;0;;0;0;324;223;;;;60;0.106;;;
SMA;01.01.2026 13:00;0.7;0.3;0.9;1.9;1.5;59.8;3.8;-6.2;946.3;1013.7;1011.4;;;5.5;241;2.3;8.3;19.8;5.4;19.4;0;;0;0;284;229;;;;60;0.098;;;
SMA;01.01.2026 14:00;1.6;1.3;1.8;2.6;2.4;58.1;4;-5.8;945.6;1012.8;1010.6;;;6.5;220;3.1;11.2;23.4;6.4;23;0;;0;0;206;230;;;;60;0.084;;;
